query,optimized query
SELECT * FROM Professor WHERE first_name = 'John';,SELECT professor_id, last_name FROM Professor WHERE first_name = 'John' INDEX(first_name);
SELECT * FROM Enrollment WHERE student_id = 123 AND enrollment_date >= '2024-01-01';,SELECT course_id, enrollment_date FROM Enrollment WHERE student_id = 123 AND enrollment_date >= '2024-01-01' INDEX(student_id, enrollment_date);
SELECT * FROM Professor WHERE department_id IN (1, 2, 3);,SELECT professor_id, first_name, last_name FROM Professor WHERE department_id IN (1, 2, 3) INDEX(department_id);
SELECT * FROM ClassSchedule WHERE day_of_week = 'Monday';,SELECT course_id, classroom_id, start_time, end_time FROM ClassSchedule WHERE day_of_week = 'Monday' INDEX(day_of_week);
SELECT * FROM Department WHERE department_name LIKE '%Computer%';,SELECT department_id, department_name, department_code FROM Department WHERE department_name LIKE '%Computer%' INDEX(department_name);
SELECT * FROM Student ORDER BY last_name DESC;,SELECT student_id, first_name, last_name FROM Student ORDER BY last_name DESC INDEX(last_name);
SELECT * FROM Course WHERE course_name = 'Introduction to AI';,SELECT course_id, course_name, course_code FROM Course WHERE course_name = 'Introduction to AI' INDEX(course_name);
SELECT * FROM Student WHERE last_name LIKE 'A%';,SELECT student_id, first_name, last_name FROM Student WHERE last_name LIKE 'A%' INDEX(last_name);
SELECT * FROM Professor WHERE email IS NOT NULL;,SELECT professor_id, first_name, last_name FROM Professor WHERE email IS NOT NULL INDEX(email);
SELECT * FROM Course WHERE credit_hours > 4 ORDER BY credit_hours DESC;,SELECT course_id, course_name, credit_hours FROM Course WHERE credit_hours > 4 ORDER BY credit_hours DESC INDEX(credit_hours);
SELECT * FROM Enrollment WHERE enrollment_date >= '2024-02-01' AND enrollment_date <= '2024-02-08';,SELECT student_id, course_id FROM Enrollment WHERE enrollment_date >= '2024-02-01' AND enrollment_date <= '2024-02-08' INDEX(enrollment_date);
SELECT * FROM Classroom WHERE capacity < 20;,SELECT classroom_id, building_name, room_number FROM Classroom WHERE capacity < 20 INDEX(capacity);
SELECT * FROM Exam WHERE exam_duration > 120;,SELECT exam_id, course_id, exam_date FROM Exam WHERE exam_duration > 120 INDEX(exam_duration);
SELECT * FROM Department WHERE department_name IN ('English', 'Mathematics');,SELECT department_id, department_name, department_code FROM Department WHERE department_name IN ('English', 'Mathematics') INDEX(department_name);
SELECT * FROM ClassSchedule WHERE day_of_week = 'Wednesday' AND classroom_id = 5;,SELECT course_id, start_time, end_time FROM ClassSchedule WHERE day_of_week = 'Wednesday' AND classroom_id = 5 INDEX(day_of_week, classroom_id);
SELECT * FROM Student WHERE address LIKE '%City Center%';,SELECT student_id, first_name, last_name FROM Student WHERE address LIKE '%City Center%' INDEX(address);
SELECT * FROM Course WHERE course_code BETWEEN 'CS101' AND 'CS200';,SELECT course_id, course_name, credit_hours FROM Course WHERE course_code BETWEEN 'CS101' AND 'CS200' INDEX(course_code);
SELECT * FROM Enrollment WHERE student_id NOT IN (1, 2, 3);,SELECT course_id FROM Enrollment WHERE student_id NOT IN (1, 2, 3) INDEX(student_id);
SELECT * FROM Classroom WHERE building_name LIKE '%East%';,SELECT classroom_id, room_number, capacity FROM Classroom WHERE building_name LIKE '%East%' INDEX(building_name);
SELECT * FROM Exam WHERE course_id = 15 AND exam_date < '2024-02-08';,SELECT exam_id, exam_duration FROM Exam WHERE course_id = 15 AND exam_date < '2024-02-08' INDEX(course_id, exam_date);
SELECT * FROM Department WHERE department_code LIKE '%ENG%';,SELECT department_id, department_name FROM Department WHERE department_code LIKE '%ENG%' INDEX(department_code);
SELECT * FROM ClassSchedule WHERE start_time >= '10:00:00';,SELECT course_id, classroom_id FROM ClassSchedule WHERE start_time >= '10:00:00' INDEX(start_time);
SELECT * FROM Student WHERE date_of_birth BETWEEN '1995-01-01' AND '2000-01-01';,SELECT * FROM Student WHERE date_of_birth BETWEEN '1995-01-01' AND '2000-01-01';
SELECT * FROM Course WHERE professor_id IS NOT NULL;,SELECT course_id, course_name, department_id FROM Course WHERE professor_id IS NOT NULL INDEX(professor_id);
SELECT * FROM Enrollment WHERE course_id = 20 GROUP BY student_id HAVING COUNT(*) > 2;,SELECT student_id, COUNT(*) AS enrolled_courses FROM Enrollment WHERE course_id = 20 GROUP BY student_
SELECT * FROM employees WHERE salary > 5000;,SELECT employee_id, name FROM employees WHERE salary > 5000;
SELECT * FROM orders WHERE order_date > '2022-01-01';,SELECT order_id, customer_id, order_date FROM orders WHERE order_date > '2022-01-01';
SELECT customer_name, COUNT(order_id) FROM customers INNER JOIN orders ON customers.customer_id = orders.customer_id GROUP BY customer_name;,SELECT c.customer_name, COUNT(o.order_id) FROM customers c INNER JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name;
SELECT * FROM products ORDER BY price DESC;,SELECT product_id, product_name, price FROM products ORDER BY price DESC;
SELECT * FROM employees WHERE department = 'IT' AND salary > 60000;,SELECT employee_id, name FROM employees WHERE department = 'IT' AND salary > 60000;
SELECT * FROM orders WHERE status = 'shipped' AND total_amount > 1000;,SELECT order_id, customer_id, order_date FROM orders WHERE status = 'shipped' AND total_amount > 1000;
SELECT customer_name, AVG(order_amount) FROM customers INNER JOIN orders ON customers.customer_id = orders.customer_id GROUP BY customer_name;,SELECT c.customer_name, AVG(o.order_amount) FROM customers c INNER JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name;
SELECT * FROM products WHERE category = 'Electronics' ORDER BY brand;,SELECT product_id, product_name, price FROM products WHERE category = 'Electronics' ORDER BY brand;
SELECT * FROM employees WHERE department IN ('Sales', 'Marketing');,SELECT employee_id, name, department FROM employees WHERE department IN ('Sales', 'Marketing');
SELECT employee_name, MAX(salary) FROM employees GROUP BY department HAVING MAX(salary) > 80000;,SELECT e.employee_name, MAX(e.salary) FROM employees e GROUP BY e.department HAVING MAX(e.salary) > 80000;
SELECT * FROM products WHERE price BETWEEN 50 AND 100;,SELECT product_name, price FROM products WHERE price BETWEEN 50 AND 100 ORDER BY price LIMIT 10;
SELECT DISTINCT category FROM products;,SELECT category FROM products GROUP BY category;
SELECT customer_name, order_date FROM customers INNER JOIN orders ON customers.customer_id = orders.customer_id WHERE order_date > '2023-01-01';,SELECT c.customer_name, o.order_date FROM customers c INNER JOIN orders o ON c.customer_id = o.customer_id WHERE o.order_date > '2023-01-01';
SELECT employee_name, department FROM employees WHERE salary > 70000 ORDER BY salary DESC;,SELECT employee_name, department FROM employees WHERE salary > 70000 ORDER BY salary DESC;
SELECT COUNT(order_id) FROM orders WHERE status = 'pending';,SELECT COUNT(order_id) FROM orders WHERE status = 'pending';
SELECT customer_name FROM customers WHERE city = 'New York' OR city = 'San Francisco';,SELECT customer_name FROM customers WHERE city IN ('New York', 'San Francisco');
SELECT product_name, AVG(price) FROM products GROUP BY category HAVING AVG(price) > 200;,SELECT p.product_name, AVG(p.price) FROM products p GROUP BY p.category HAVING AVG(p.price) > 200;
SELECT * FROM employees WHERE hire_date BETWEEN '2022-01-01' AND '2023-01-01';,SELECT employee_id, name, hire_date FROM employees WHERE hire_date BETWEEN '2022-01-01' AND '2023-01-01';
SELECT order_id, customer_id, order_date FROM orders WHERE customer_id IN (SELECT customer_id FROM customers WHERE country = 'USA');,SELECT o.order_id, o.customer_id, o.order_date FROM orders o WHERE o.customer_id IN (SELECT c.customer_id FROM customers c WHERE c.country = 'USA');
SELECT department, COUNT(employee_id) FROM employees GROUP BY department HAVING COUNT(employee_id) > 5;,SELECT department, COUNT(employee_id) FROM employees GROUP BY department HAVING COUNT(employee_id) > 5;
SELECT product_name, price FROM products WHERE price > 100 ORDER BY price LIMIT 10;,SELECT product_name, price FROM products WHERE price > 100 ORDER BY price LIMIT 10;
SELECT DISTINCT department FROM employees ORDER BY department;,SELECT department FROM employees GROUP BY department ORDER BY department;
SELECT customer_name, order_date FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE order_date > '2023-06-01';,SELECT c.customer_name, o.order_date FROM customers c INNER JOIN orders o ON c.customer_id = o.customer_id WHERE o.order_date > '2023-06-01';
SELECT employee_name, salary FROM employees WHERE salary BETWEEN 50000 AND 80000 ORDER BY salary DESC;,SELECT employee_name, salary FROM employees WHERE salary BETWEEN 50000 AND 80000 ORDER BY salary DESC;
SELECT category, AVG(price) FROM products GROUP BY category HAVING AVG(price) > 150;,SELECT category, AVG(price) FROM products GROUP BY category HAVING AVG(price) > 150;
SELECT employee_name, department FROM employees WHERE department IS NOT NULL;,SELECT employee_name, department FROM employees WHERE department IS NOT NULL;
SELECT AVG(salary) FROM employees WHERE department = 'Finance';,SELECT AVG(salary) FROM employees WHERE department = 'Finance';
SELECT customer_name, COUNT(order_id) FROM customers LEFT JOIN orders ON customers.customer_id = orders.customer_id GROUP BY customer_name;,SELECT c.customer_name, COUNT(o.order_id) FROM customers c LEFT JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name;
SELECT product_name, price FROM products WHERE price > 50 AND category = 'Electronics' ORDER BY price DESC LIMIT 5;,SELECT product_name, price FROM products WHERE price > 50 AND category = 'Electronics' ORDER BY price DESC LIMIT 5;
SELECT employee_name, department, AVG(salary) FROM employees GROUP BY department HAVING AVG(salary) > 60000;,SELECT employee_name, department, AVG(salary) FROM employees GROUP BY department HAVING AVG(salary) > 60000;
SELECT * FROM Professor WHERE department_id = 4;,SELECT * FROM Professor p WHERE p.department_id = 4 INDEX(p.department_id); 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat';,SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat' INDEX(s.ville); 
SELECT * FROM Classroom WHERE building_name = 'Building C' AND room_number = 102;,SELECT * FROM Classroom c WHERE c.building_name = 'Building C' AND c.room_number = 102 INDEX(c.building_name, c.room_number); 
SELECT * FROM Department WHERE department_name = 'Computer Science';,SELECT * FROM Department d WHERE d.department_name = 'Computer Science' INDEX(d.department_name); 
SELECT * FROM Professor p INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Computer Science';,SELECT * FROM Professor p INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Computer Science'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id WHERE c.course_name = 'Mathematics';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id WHERE c.course_name = 'Mathematics'; 
SELECT * FROM Professor p INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Course c ON p.professor_id = c.professor_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Organic Chemistry';,SELECT * FROM Professor p INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Course c ON p.professor_id = c.professor_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Organic Chemistry'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id WHERE p.department_id = 14;,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id WHERE p.department_id = 14; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Physics';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Physics'; 
SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id WHERE b.building_name = 'Building H';,SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id WHERE b.building_name = 'Building H'; 
SELECT * FROM Department d INNER JOIN Professor p ON d.department_id = p.department_id INNER JOIN Course c ON p.professor_id = c.professor_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Analytical Chemistry';,SELECT * FROM Department d INNER JOIN Professor p ON d.department_id = p.department_id INNER JOIN Course c ON p.professor_id = c.professor_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Analytical Chemistry'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Biology' AND c.course_name = 'Genetics';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Biology' AND c.course_name = 'Genetics'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Electrical Engineering' AND c.course_name = 'Circuit Theory';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Electrical Engineering' AND c.course_name = 'Circuit Theory'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Computer Science' AND c.course_name = 'Database Systems';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Computer Science' AND c.course_name = 'Database Systems'; 
SELECT * FROM Professor WHERE department_id = 6;,SELECT * FROM Professor p WHERE p.department_id = 6 INDEX(p.department_id); 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Tetouan';,SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Tetouan' INDEX(s.ville); 
SELECT * FROM Classroom WHERE building_name = 'Building E' AND room_number = 104;,SELECT * FROM Classroom c WHERE c.building_name = 'Building E' AND c.room_number = 104 INDEX(c.building_name, c.room_number); 
SELECT * FROM Department WHERE department_name = 'Physics';,SELECT * FROM Department d WHERE d.department_name = 'Physics' INDEX(d.department_name); 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 7;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 7 INDEX(p.department_id); 
SELECT * FROM Student s WHERE s.student_id = 102;,SELECT * FROM Student s WHERE s.student_id = 102 INDEX(s.student_id); 
SELECT * FROM Course WHERE course_id = 303;,SELECT * FROM Course WHERE course_id = 303 INDEX(course_id); 
SELECT * FROM Classroom WHERE building_name = 'Building F' AND room_number = 105;,SELECT * FROM Classroom c WHERE c.building_name = 'Building F' AND c.room_number = 105 INDEX(c.building_name, c.room_number); 
SELECT * FROM Professor WHERE department_id = 8;,SELECT * FROM Professor p WHERE p.department_id = 8 INDEX(p.department_id); 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Marrakech';,SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Marrakech' INDEX(s.ville); 
SELECT * FROM Classroom WHERE building_name = 'Building G' AND room_number = 106;,SELECT * FROM Classroom c WHERE c.building_name = 'Building G' AND c.room_number = 106 INDEX(c.building_name, c.room_number); 
SELECT * FROM Department WHERE department_name = 'Chemistry';,SELECT * FROM Department d WHERE d.department_name = 'Chemistry' INDEX(d.department_name); 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 9;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 9 INDEX(p.department_id); 
SELECT * FROM Classroom WHERE building_name = 'Building E' AND room_number = 104;,SELECT * FROM Classroom WHERE building_name || room_number = 'Building E104'; 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 5;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 5 INDEX(p.department_id); 
SELECT * FROM Student s WHERE s.student_id = 101;,SELECT * FROM Student s WHERE s.student_id = 101 INDEX(s.student_id); 
SELECT * FROM Course WHERE course_id = 302;,SELECT * FROM Course WHERE course_id = 302 INDEX(course_id); 
SELECT * FROM Classroom WHERE building_name = 'Building D' AND room_number = 103;,SELECT * FROM Classroom c WHERE c.building_name = 'Building D' AND c.room_number = 103 INDEX(c.building_name, c.room_number); 
SELECT * FROM Department WHERE department_name = 'Physics';,SELECT * FROM Department WHERE department_name = 'Physics'; 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 7;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 7; 
SELECT * FROM Student s WHERE s.student_id = 102;,SELECT * FROM Student WHERE student_id = 102; 
SELECT * FROM Course WHERE course_id = 303;,SELECT * FROM Course WHERE course_id = 303; 
SELECT * FROM Classroom WHERE building_name = 'Building F' AND room_number = 105;,SELECT * FROM Classroom WHERE building_name || room_number = 'Building F105'; 
SELECT * FROM Professor WHERE department_id = 8;,SELECT * FROM Professor WHERE department_id = 8; 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Marrakech';,SELECT * FROM Student WHERE ville = 'Marrakech'; 
SELECT * FROM Classroom WHERE building_name = 'Building G' AND room_number = 106;,SELECT * FROM Classroom WHERE building_name || room_number = 'Building G106'; 
SELECT * FROM Department WHERE department_name = 'Chemistry';,SELECT * FROM Department WHERE department_name = 'Chemistry'; 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 9;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 9; 
SELECT * FROM Classroom WHERE building_name = 'Building L' AND room_number = 111;,SELECT * FROM Classroom WHERE building_name || room_number = 'Building L111'; 
SELECT * FROM Professor WHERE department_id = 4;,SELECT * FROM Professor WHERE department_id = 4; 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat';,SELECT * FROM Student WHERE ville = 'Rabat'; 
SELECT * FROM Classroom WHERE building_name = 'Building A' AND room_number = 101;,SELECT * FROM Classroom WHERE building_name = 'Building A' AND room_number = 101; 
SELECT * FROM Department WHERE department_name = 'Biology';,SELECT * FROM Department WHERE department_name = 'Biology'; 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 10;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 10; 
SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Casablanca';,SELECT * FROM Student WHERE ville = 'Casablanca'; 
SELECT * FROM Classroom WHERE building_name = 'Building B' AND room_number = 102;,SELECT * FROM Classroom WHERE building_name = 'Building B' AND room_number = 102; 
SELECT * FROM Department WHERE department_name = 'Mathematics';,SELECT * FROM Department WHERE department_name = 'Mathematics'; 
SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 11;,SELECT * FROM Professor p INNER JOIN Course c ON p.professor_id = c.professor_id WHERE p.department_id = 11; 
SELECT * FROM Student s WHERE s.student_id = 103;,SELECT * FROM Student WHERE student_id = 103; 
SELECT * FROM Course WHERE course_id = 304;,SELECT * FROM Course WHERE course_id = 304; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Physics' AND c.course_name = 'Quantum Mechanics';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Physics' AND c.course_name = 'Quantum Mechanics'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Inorganic Chemistry';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Chemistry' AND c.course_name = 'Inorganic Chemistry'; 
SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id WHERE b.building_name = 'Building J' AND d.department_name = 'Computer Science';,SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id WHERE b.building_name = 'Building J' AND d.department_name = 'Computer Science'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Mathematics' AND c.course_name = 'Linear Algebra';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id WHERE d.department_name = 'Mathematics' AND c.course_name = 'Linear Algebra'; 
SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building K' AND p.professor_name = 'Dr. Smith';,SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building K' AND p.professor_name = 'Dr. Smith'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Building b ON d.department_id = b.department_id WHERE b.building_name = 'Building L' AND d.department_name = 'Physics' AND c.course_name = 'General Relativity';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Building b ON d.department_id = b.department_id WHERE b.building_name = 'Building L' AND d.department_name = 'Physics' AND c.course_name = 'General Relativity'; 
SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building M' AND d.department_name = 'Chemistry' AND p.professor_name = 'Dr. Johnson';,SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building M' AND d.department_name = 'Chemistry' AND p.professor_name = 'Dr. Johnson'; 
SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Building b ON d.department_id = b.department_id WHERE b.building_name = 'Building N' AND d.department_name = 'Electrical Engineering' AND p.professor_name = 'Dr. Lee';,SELECT * FROM Student s INNER JOIN Enrollment e ON s.student_id = e.student_id INNER JOIN Course c ON e.course_id = c.course_id INNER JOIN Professor p ON c.professor_id = p.professor_id INNER JOIN Department d ON p.department_id = d.department_id INNER JOIN Building b ON d.department_id = b.department_id WHERE b.building_name = 'Building N' AND d.department_name = 'Electrical Engineering' AND p.professor_name = 'Dr. Lee'; 
SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building O' AND d.department_name = 'Computer Science' AND p.professor_name = 'Dr. Kim';,SELECT * FROM Classroom cl INNER JOIN Building b ON cl.building_id = b.building_id INNER JOIN Department d ON cl.department_id = d.department_id INNER JOIN Professor p ON d.department_id = p.department_id WHERE b.building_name = 'Building O' AND d.department_name = 'Computer Science' AND p.professor_name = 'Dr. Kim'; 
